#DataThief /home/matkinson/research/p2p/pp_int_diff-datapoints.png Monday 6-Feb-2023 3:36:49 PM
96.4029, 18.8793    1  
101.2306, 17.8929   1
113.8548, 22.454    1
119.1397, 30.2517   1
124.8309, 34.7462   1
130.5161, 37.8353   1
131.5704, 38.7483   1
137.2338, 36.6371   1
143.0886, 30.0985   1
157.5276, 16.5983   1
164.4401, 11.7457   1
